player,pos,salary,team
Alcides Escobar,SS,3.00E+06,KCA
Wade Davis,SP,2800000,KCA
Felipe Paulino,DNP,1750000,KCA
Noel Arguelles,DNP,1380000,KCA
Aaron Crow,RP,1280000,KCA
Miguel Tejada,PH,1100000,KCA
Chris Getz,2B,1050000,KCA
George Kottaras,C,1.00E+06,KCA
Salvador Perez,C,1.00E+06,KCA
Brett Hayes,DNP,6.00E+05,KCA
Greg Holland,RP,539500,KCA
Tim Collins,RP,534500,KCA
Luis Mendoza,SP,532000,KCA
Eric Hosmer,1B,528250,KCA
Mike Moustakas,3B,524500,KCA
Elliot Johnson,2B,520500,KCA
Kelvin Herrera,RP,508175,KCA
Danny Duffy,DNP,505125,KCA
Lorenzo Cain,CF,503175,KCA
Bud Norris,SP,3.00E+06,HOU
Carlos Pena,1B,2900000,HOU
Jose Veras,RP,1850000,HOU
Erik Bedard,SP,1150000,HOU
Wesley Wright,RP,1025000,HOU
Philip Humber,SP,8.00E+05,HOU
Rick Ankiel,RF,750000,HOU
Ronny Cedeno,SS,718000,HOU
Jose Altuve,2B,505700,HOU
Lucas Harrell,SP,500700,HOU
Rhiner Cruz,RP,498000,HOU
J.D. Martinez,LF,497800,HOU
Alex White,DNP,497100,HOU
Jason Castro,C,496600,HOU
Xavier Cedeno,RP,495900,HOU
Carlos Corporan,C,495000,HOU
Brett Wallace,1B,495000,HOU
Marwin Gonzalez,SS,494400,HOU
Chris Carter,LF,494000,HOU
Hector Ambriz,RP,493400,HOU
Fernando Martinez,LF,493000,HOU
Justin Maxwell,CF,492500,HOU
Matt Dominguez,3B,491800,HOU
Brandon Barnes,RF,491700,HOU
Brad Peacock,SP,490000,HOU
Josh Fields,RP,490000,HOU
Prince Fielder,1B,2.30E+07,DET
Miguel Cabrera,3B,2.10E+07,DET
Justin Verlander,SP,2.00E+07,DET
Victor Martinez,DH,1.30E+07,DET
Torii Hunter,RF,1.20E+07,DET
Anibal Sanchez,SP,8800000,DET
Max Scherzer,SP,6725000,DET
Jhonny Peralta,SS,6.00E+06,DET
Joaquin Benoit,RP,5500000,DET
Rick Porcello,SP,5100000,DET
Doug Fister,SP,4.00E+06,DET
Omar Infante,2B,4.00E+06,DET
Octavio Dotel,RP,3500000,DET
Austin Jackson,CF,3500000,DET
Alex Avila,C,2950000,DET
Ramon Santiago,2B,2100000,DET
Phil Coke,RP,1850000,DET
Don Kelly,LF,9.00E+05,DET
Brayan Pena,C,875000,DET
Matt Tuiasosopo,LF,525000,DET
Andy Dirks,LF,505000,DET
Brayan Villarreal,RP,502500,DET
Al Alburquerque,RP,5.00E+05,DET
Drew Smyly,RP,498000,DET
Darin Downs,RP,494000,DET
Avisail Garcia,DNP,490000,DET
Jorge De La Rosa,SP,1.10E+07,COL
Michael Cuddyer,RF,10500000,COL
Troy Tulowitzki,SS,1.00E+07,COL
Carlos Gonzalez,LF,7928571,COL
Todd Helton,1B,5.00E+06,COL
Rafael Betancourt,RP,4250000,COL
Matt Belisle,RP,4100000,COL
Dexter Fowler,CF,3750000,COL
Ramon Hernandez,DNP,3200000,COL
Wilton Lopez,RP,1762500,COL
Jhoulys Chacin,SP,1650000,COL
Jeff Francis,SP,1500000,COL
Chris Volstad,RP,1500000,COL
Yorvit Torrealba,C,1.00E+06,COL
Jonathan Herrera,SS,9.00E+05,COL
Matt Reynolds,DNP,505500,COL
Jon Garland,SP,5.00E+05,COL
Reid Brignac,PH,499000,COL
Eric Young,RF,492000,COL
Edgmer Escalona,RP,491000,COL
Jordan Pacheco,1B,491000,COL
Rex Brothers,RP,491000,COL
Wilin Rosario,C,491000,COL
Chris Nelson,3B,491000,COL
Juan Nicasio,SP,491000,COL
Adam Ottavino,RP,491000,COL
Edwar Cabrera,DNP,490000,COL
Josh Rutledge,2B,490000,COL
Nick Swisher,1B,1.10E+07,CLE
Chris Perez,RP,7300000,CLE
Brett Myers,SP,7.00E+06,CLE
Michael Bourn,CF,7.00E+06,CLE
Asdrubal Cabrera,SS,6500000,CLE
Mark Reynolds,1B,6.00E+06,CLE
Ubaldo Jimenez,SP,5750000,CLE
Justin Masterson,SP,5687500,CLE
Joe Smith,RP,3150000,CLE
Drew Stubbs,CF,2825000,CLE
Mike Aviles,SS,2250000,CLE
Matt Albers,RP,1750000,CLE
Trevor Bauer,SP,1183333,CLE
Rich Hill,RP,1.00E+06,CLE
Lou Marson,C,1.00E+06,CLE
Ryan Raburn,RF,1.00E+06,CLE
Carlos Santana,C,750000,CLE
Jason Giambi,DH,750000,CLE
Blake Wood,DNP,560000,CLE
Michael Brantley,LF,526900,CLE
Jason Kipnis,2B,509000,CLE
Josh Tomlin,DNP,501800,CLE
Bryan Shaw,RP,501700,CLE
Vinnie Pestano,RP,501000,CLE
Zach McAllister,SP,496400,CLE
Frank Herrmann,DNP,495500,CLE
Lonnie Chisenhall,3B,492900,CLE
Cody Allen,RP,492600,CLE
Nick Hagadone,RP,492100,CLE
Carlos Carrasco,SP,490000,CLE
Joey Votto,1B,1.90E+07,CIN
Bronson Arroyo,SP,16445533,CIN
Brandon Phillips,2B,1.00E+07,CIN
Jay Bruce,RF,7541667,CIN
Johnny Cueto,SP,7400000,CIN
Shin-Soo Choo,CF,7375000,CIN
Homer Bailey,SP,5350000,CIN
Aroldis Chapman,RP,4708333,CIN
Sean Marshall,RP,4500000,CIN
Mat Latos,SP,4250000,CIN
Jonathan Broxton,RP,4.00E+06,CIN
Nick Masset,DNP,3100000,CIN
Mike Leake,SP,3060000,CIN
Ryan Hanigan,C,2150000,CIN
Ryan Ludwick,LF,2.00E+06,CIN
Chris Heisey,LF,1325000,CIN
Jose Arredondo,DNP,1200000,CIN
Jack Hannahan,PH,1.00E+06,CIN
Manny Parra,RP,1.00E+06,CIN
Alfredo Simon,RP,890000,CIN
Cesar Izturis,PH,8.00E+05,CIN
Todd Frazier,3B,527500,CIN
Zack Cozart,SS,527500,CIN
Sam LeCure,RP,510000,CIN
Xavier Paul,LF,505000,CIN
Devin Mesoraco,C,497500,CIN
J.J. Hoover,RP,492500,CIN
John Danks,DNP,15750000,CHA
Adam Dunn,1B,1.50E+07,CHA
Jake Peavy,SP,14500000,CHA
Paul Konerko,1B,13500000,CHA
Alex Rios,RF,1.30E+07,CHA
Gavin Floyd,SP,9500000,CHA
Alexei Ramirez,SS,7.00E+06,CHA
Matt Thornton,RP,5500000,CHA
Jesse Crain,RP,4500000,CHA
